1985	1759
1986	1772
1987	1785
1988	1799
1989	1813
1990	1826
1991	1840
1992	1853
1993	1866
1994	1880
1995	1893
1996	1907
1997	1921
1998	1934
1999	1947
2000	1961
2001	1974
2002	1987
2003	2001
2004	2014
2005	2028
2006	2042
2007	2054
2008	2067
2009	2081
2011	2108
2012	2121
2013	2134
2014	2149
2015	2161
2016	2174
2017	2188
2018	2201
2019	2215
2020	2228
2021	2241
